timestamps,TP9,AF7,AF8,TP10,Right AUX
1560169042.989,26.855,40.527,32.715,7.324,48.828
1560169042.993,16.602,37.109,27.344,-3.906,75.195
1560169042.997,14.160,35.645,25.391,-1.953,66.406
1560169043.001,26.367,34.668,24.902,12.695,34.180
1560169043.005,43.945,34.668,24.414,35.156,65.430
1560169043.009,27.344,38.086,23.926,17.578,49.316
1560169043.012,15.137,40.039,25.391,2.930,13.672
1560169043.016,13.672,40.527,25.879,0.488,23.438
1560169043.020,16.113,39.551,24.902,9.766,33.203
1560169043.024,33.203,38.574,24.902,33.203,6.836
1560169043.028,21.484,37.598,22.949,18.555,-7.812
1560169043.032,7.812,35.645,24.414,-1.465,46.875
1560169043.036,6.348,34.668,25.391,-2.441,40.527
1560169043.040,14.648,34.668,26.367,9.766,21.484
1560169043.044,32.227,34.668,27.344,35.645,-19.531
1560169043.048,19.043,31.738,24.414,15.137,-23.926
1560169043.052,7.324,30.762,25.879,-6.348,50.781
1560169043.055,6.348,31.250,26.855,-0.977,30.273
1560169043.059,13.672,33.691,27.832,10.742,43.945
1560169043.063,37.109,36.133,30.762,39.062,57.617
1560169043.067,29.785,34.180,29.297,26.367,6.836
1560169043.071,15.625,35.645,29.297,-0.488,-24.902
1560169043.075,17.578,37.598,28.809,-1.465,-2.930
1560169043.079,22.949,39.062,27.832,4.395,27.344
1560169043.083,34.668,35.156,27.832,27.832,21.973
1560169043.087,30.762,33.203,26.367,21.484,-2.930
1560169043.091,15.137,36.133,25.391,-2.930,0.488
1560169043.094,10.742,38.086,24.414,-9.766,24.414
1560169043.098,13.184,39.062,24.414,-7.324,6.836
1560169043.102,31.250,36.621,24.414,30.762,3.418
1560169043.106,23.438,34.668,29.785,32.715,37.109
1560169043.110,-9.277,34.180,32.715,-4.395,2.441
1560169043.114,-9.277,32.715,34.668,-8.789,-0.977
1560169043.118,0.000,35.645,33.691,-3.906,34.180
1560169043.122,16.113,35.645,26.855,20.996,23.926
1560169043.126,15.625,32.227,23.926,23.926,42.480
1560169043.130,-5.371,32.715,25.879,-6.348,45.410
1560169043.134,-6.348,34.180,28.320,-8.789,73.730
1560169043.137,-2.930,31.250,27.832,-2.441,18.066
1560169043.141,18.066,30.273,27.832,20.508,-43.457
1560169043.145,29.785,33.203,28.320,32.715,28.809
1560169043.149,14.160,34.668,27.344,4.883,62.500
1560169043.153,9.766,33.203,27.344,-1.953,64.941
1560169043.157,3.418,32.715,27.832,-2.930,62.012
1560169043.161,18.066,33.691,24.902,14.160,30.273
1560169043.165,33.691,34.668,26.855,34.668,20.996
1560169043.169,11.719,34.668,30.273,2.441,68.359
1560169043.173,0.977,35.156,26.855,-12.207,46.387
1560169043.177,1.465,36.621,26.855,-11.230,-47.852
1560169043.180,9.277,34.180,27.832,8.301,6.348
1560169043.184,28.809,32.227,27.832,35.645,29.785
1560169043.188,15.625,32.227,31.250,15.625,27.344
1560169043.192,3.906,29.785,33.691,-0.977,36.621
1560169043.196,5.859,30.273,30.273,-5.371,-27.832
1560169043.200,3.418,30.762,23.926,0.977,28.809
1560169043.204,21.484,29.785,25.391,27.832,47.852
1560169043.208,18.066,30.273,30.273,12.695,-30.762
1560169043.212,2.930,29.297,27.832,-7.324,-19.531
1560169043.216,-3.418,29.785,28.320,-8.789,-23.926
1560169043.219,3.906,32.227,28.809,1.953,7.324
1560169043.223,30.273,32.227,26.367,31.738,54.199
1560169043.227,24.414,30.273,26.855,20.020,45.410
1560169043.231,5.859,29.785,25.879,-3.418,3.906
1560169043.235,5.371,35.156,26.367,-1.465,19.531
1560169043.239,9.766,38.574,27.832,5.371,32.227
1560169043.243,26.855,33.691,28.320,25.391,64.453
1560169043.247,25.391,35.645,30.273,21.484,64.941
1560169043.251,14.648,40.039,28.809,4.883,21.484
1560169043.255,14.648,36.621,28.320,-0.488,26.367
1560169043.259,9.766,36.133,28.809,-0.977,74.219
1560169043.262,21.973,36.621,26.855,23.438,91.797
1560169043.266,21.484,36.133,25.879,18.066,109.863
1560169043.270,7.812,35.156,26.855,-8.301,75.195
1560169043.274,5.371,36.621,28.809,-14.160,58.594
1560169043.278,-2.441,33.691,31.738,-12.207,19.531
1560169043.282,12.695,28.320,30.762,15.625,-57.617
1560169043.286,18.555,30.762,28.320,21.484,-40.527
1560169043.290,1.953,31.738,31.250,-3.418,-56.641
1560169043.294,-6.348,29.785,33.691,-12.207,-93.750
1560169043.298,-6.836,29.785,30.273,-14.160,-41.504
1560169043.302,17.578,29.297,27.344,9.766,17.578
1560169043.305,26.855,32.715,24.902,18.555,27.832
1560169043.309,7.324,35.156,21.973,-8.301,-35.156
1560169043.313,0.488,31.738,23.438,-14.648,-49.316
1560169043.317,-1.953,30.762,27.832,-8.301,12.207
1560169043.321,13.184,34.668,27.832,12.695,25.879
1560169043.325,31.250,35.156,27.832,29.297,-7.812
1560169043.329,17.090,34.180,26.855,8.301,4.883
1560169043.333,10.742,35.645,25.391,-4.883,48.828
1560169043.337,6.836,37.598,25.879,-6.836,79.102
1560169043.341,15.137,38.574,26.855,8.789,69.824
1560169043.344,27.832,37.109,25.391,24.902,74.707
1560169043.348,10.254,38.086,22.949,-2.930,117.676
1560169043.352,0.488,38.574,23.438,-14.160,60.547
1560169043.356,-2.441,38.574,26.367,-12.695,60.547
1560169043.360,8.301,37.598,27.832,0.488,121.094
1560169043.364,31.738,38.574,26.855,25.391,88.867
1560169043.368,15.137,38.086,27.344,3.906,32.227
1560169043.372,-1.465,33.203,27.344,-14.648,13.672
1560169043.376,-2.930,31.738,26.855,-18.066,80.566
1560169043.380,0.488,33.691,28.320,-5.859,128.418
1560169043.384,27.344,33.203,28.809,25.879,70.801
1560169043.387,21.973,31.250,29.785,10.254,107.910
1560169043.391,1.953,30.762,31.250,-11.230,91.309
1560169043.395,2.930,33.691,31.250,-10.742,74.219
1560169043.399,8.789,35.156,29.297,-1.465,70.801
1560169043.403,25.391,35.645,28.320,28.320,57.617
1560169043.407,19.043,37.598,29.297,16.113,56.641
1560169043.411,6.348,36.621,28.809,-8.301,47.852
1560169043.415,9.277,36.133,26.367,-8.789,82.031
1560169043.419,10.742,39.551,26.855,-6.348,13.184
1560169043.423,29.785,41.016,29.297,20.020,-15.625
1560169043.426,28.809,42.969,33.203,19.531,49.805
1560169043.430,12.207,45.410,35.645,-6.836,42.969
1560169043.434,7.812,42.969,33.203,-14.648,46.387
1560169043.438,9.277,40.039,33.203,-8.789,35.645
1560169043.442,30.762,42.480,34.668,22.949,42.969
1560169043.446,36.133,44.434,34.180,30.273,46.387
1560169043.450,20.996,41.992,33.203,7.812,54.688
1560169043.454,21.973,41.504,34.668,6.348,83.496
1560169043.458,23.438,40.527,33.203,10.742,51.758
1560169043.462,36.133,39.062,32.715,36.621,37.598
1560169043.466,37.598,40.527,34.668,43.945,11.230
1560169043.469,14.160,38.086,32.227,15.625,5.371
1560169043.473,12.695,36.133,31.250,6.348,47.363
1560169043.477,17.090,38.086,30.762,8.301,80.078
1560169043.481,27.832,35.645,28.809,25.879,44.434
1560169043.485,38.086,35.645,31.250,39.062,2.441
1560169043.489,21.484,34.180,34.180,20.996,50.781
1560169043.493,11.719,32.715,32.227,9.766,95.703
1560169043.497,13.184,33.691,31.250,8.789,55.664
1560169043.501,26.367,34.668,28.809,24.414,-64.453
1560169043.505,35.156,35.645,31.250,34.180,-60.059
1560169043.509,17.578,34.668,31.250,5.371,83.496
1560169043.512,7.324,35.156,25.879,-4.883,91.309
1560169043.516,7.324,38.086,26.367,-4.395,18.066
1560169043.520,20.508,39.062,27.344,10.742,24.902
1560169043.524,42.969,38.086,25.879,35.645,70.801
1560169043.528,29.785,37.109,25.879,9.766,30.273
1560169043.532,14.160,39.551,25.879,-11.230,-32.227
1560169043.536,11.230,39.551,27.344,-6.836,-22.461
1560169043.540,20.996,37.109,29.785,11.230,10.254
1560169043.544,42.480,39.551,27.832,36.133,78.125
1560169043.548,26.367,43.945,28.809,17.578,73.242
1560169043.551,15.137,44.434,31.738,4.395,-23.438
1560169043.555,14.160,38.086,33.203,4.883,31.738
1560169043.559,13.184,34.668,33.691,7.324,90.332
1560169043.563,31.250,38.574,34.668,34.668,20.020
1560169043.567,24.414,41.504,35.645,24.902,9.277
1560169043.571,12.695,38.574,35.156,0.488,22.461
1560169043.575,16.602,36.133,34.668,2.441,35.645
1560169043.579,17.090,34.668,35.156,12.695,62.500
1560169043.583,37.598,32.227,36.621,41.504,37.109
1560169043.587,36.133,33.691,33.691,29.785,51.758
