timestamps,TP9,AF7,AF8,TP10,Right AUX
1560169122.719,4.883,25.879,19.043,5.371,63.965
1560169122.723,4.883,22.461,19.531,3.906,59.082
1560169122.727,33.203,21.484,20.020,28.320,40.039
1560169122.731,54.688,25.391,15.625,51.758,16.602
1560169122.735,21.973,24.414,13.672,20.020,38.574
1560169122.739,-2.930,23.438,16.113,4.395,8.301
1560169122.743,-7.324,24.414,11.719,-4.883,-54.688
1560169122.747,14.648,25.879,6.836,8.789,22.461
1560169122.750,48.828,26.855,6.348,36.621,73.730
1560169122.754,31.250,27.344,9.277,20.020,-16.602
1560169122.758,1.953,27.832,9.277,-1.465,-8.789
1560169122.762,-1.953,25.391,11.230,-3.906,19.531
1560169122.766,15.137,24.414,14.648,16.602,20.508
1560169122.770,51.758,26.367,9.766,50.293,14.648
1560169122.774,25.391,24.414,8.789,26.367,-33.203
1560169122.778,-4.395,22.949,8.789,-2.441,4.395
1560169122.782,-0.488,22.949,5.859,-13.672,4.883
1560169122.786,4.395,18.555,7.812,1.465,22.461
1560169122.790,34.668,17.578,9.277,37.598,56.152
1560169122.793,27.344,20.020,9.277,18.066,60.547
1560169122.797,2.930,20.996,7.812,-6.836,41.504
1560169122.801,-1.953,20.996,9.277,-8.301,-18.555
1560169122.805,6.348,25.391,12.695,-2.441,-3.418
1560169122.809,43.945,24.414,14.160,32.227,66.406
1560169122.813,34.180,23.438,13.184,31.738,58.105
1560169122.817,2.930,26.367,12.207,5.859,64.941
1560169122.821,2.441,24.902,15.625,0.977,66.895
1560169122.825,7.812,26.367,14.160,13.184,24.414
1560169122.829,45.410,27.344,10.254,45.898,-17.090
1560169122.832,39.062,26.367,13.672,35.156,0.488
1560169122.836,-0.977,26.855,13.672,1.953,35.645
1560169122.840,-8.789,26.855,11.719,-9.766,61.523
1560169122.844,-0.977,26.367,11.719,-6.836,48.340
1560169122.848,33.203,23.926,11.230,31.738,17.578
1560169122.852,24.902,19.531,9.766,31.250,59.082
1560169122.856,-10.254,21.484,11.230,-6.836,42.480
1560169122.860,-14.648,24.902,14.160,-13.184,43.945
1560169122.864,-11.719,24.414,12.695,-3.906,69.824
1560169122.868,22.949,22.461,11.230,29.297,62.012
1560169122.872,34.668,20.996,8.789,32.715,51.270
1560169122.875,1.953,22.461,4.883,-0.977,-1.953
