Team 1,Team 2,Ground,Host_Country,Venue_Team1,Venue_Team2,Winner
Australia,England,Melbourne,Australia,0,1,Australia
England,Australia,Manchester,England,0,1,England
England,Australia,Lord's,England,0,1,Australia
England,Australia,Birmingham,England,0,1,England
New Zealand,Pakistan,Christchurch,New Zealand,0,1,New Zealand
England,New Zealand,Swansea,England,0,1,England
England,West Indies,Leeds,England,0,1,England
England,West Indies,The Oval,England,0,1,West Indies
New Zealand,Australia,Dunedin,New Zealand,0,1,Australia
New Zealand,Australia,Christchurch,New Zealand,0,1,Australia
England,India,Leeds,England,0,1,England
England,India,The Oval,England,0,1,England
England,Pakistan,Nottingham,England,0,1,Pakistan
England,Pakistan,Birmingham,England,0,1,Pakistan
Australia,England,Melbourne,Australia,0,1,England
England,India,Lord's,England,0,1,England
East Africa,New Zealand,Birmingham,England,2,2,New Zealand
Australia,Pakistan,Leeds,England,2,2,Australia
Sri Lanka,West Indies,Manchester,England,2,2,West Indies
England,New Zealand,Nottingham,England,0,1,England
East Africa,India,Leeds,England,2,2,India
Australia,Sri Lanka,The Oval,England,2,2,Australia
Pakistan,West Indies,Birmingham,England,2,2,West Indies
England,East Africa,Birmingham,England,0,1,England
India,New Zealand,Manchester,England,2,2,New Zealand
Australia,West Indies,The Oval,England,2,2,West Indies
Pakistan,Sri Lanka,Nottingham,England,2,2,Pakistan
England,Australia,Leeds,England,0,1,Australia
New Zealand,West Indies,The Oval,England,2,2,West Indies
Australia,West Indies,Lord's,England,2,2,West Indies
Australia,West Indies,Adelaide,Australia,0,1,Australia
New Zealand,India,Christchurch,New Zealand,0,1,New Zealand
New Zealand,India,Auckland,New Zealand,0,1,New Zealand
England,West Indies,Scarborough,England,0,1,West Indies
England,West Indies,Lord's,England,0,1,West Indies
England,West Indies,Birmingham,England,0,1,West Indies
Pakistan,New Zealand,Sialkot,Pakistan,0,1,New Zealand
West Indies,Pakistan,Albion,West Indies,0,1,West Indies
England,Australia,Manchester,England,0,1,England
England,Australia,Birmingham,England,0,1,England
England,Australia,The Oval,England,0,1,Australia
Pakistan,England,Sahiwal,Pakistan,0,1,England
Pakistan,England,Sialkot,Pakistan,0,1,England
Pakistan,England,Lahore,Pakistan,0,1,Pakistan
West Indies,Australia,St John's,West Indies,0,1,West Indies
West Indies,Australia,Castries,West Indies,0,1,Australia
England,Pakistan,Manchester,England,0,1,England
England,Pakistan,The Oval,England,0,1,England
England,New Zealand,Scarborough,England,0,1,England
England,New Zealand,Manchester,England,0,1,England
Pakistan,India,Quetta,Pakistan,0,1,India
Pakistan,India,Sialkot,Pakistan,0,1,Pakistan
Australia,England,Melbourne,Australia,0,1,England
Australia,England,Melbourne,Australia,0,1,Australia
Australia,England,Melbourne,Australia,0,1,Australia
India,West Indies,Birmingham,England,2,2,West Indies
New Zealand,Sri Lanka,Nottingham,England,2,2,New Zealand
England,Australia,Lord's,England,0,1,England
Canada,Pakistan,Leeds,England,2,2,Pakistan
India,New Zealand,Leeds,England,2,2,New Zealand
Australia,Pakistan,Nottingham,England,2,2,Pakistan
England,Canada,Manchester,England,0,1,England
India,Sri Lanka,Manchester,England,2,2,Sri Lanka
New Zealand,West Indies,Nottingham,England,2,2,West Indies
Australia,Canada,Birmingham,England,2,2,Australia
England,Pakistan,Leeds,England,0,1,England
England,New Zealand,Manchester,England,0,1,England
Pakistan,West Indies,The Oval,England,2,2,West Indies
England,West Indies,Lord's,England,0,1,West Indies
Australia,West Indies,Sydney,Australia,0,1,Australia
England,West Indies,Sydney,Australia,2,2,England
Australia,England,Melbourne,Australia,0,1,England
Australia,West Indies,Melbourne,Australia,0,1,West Indies
Australia,England,Sydney,Australia,0,1,England
Australia,West Indies,Sydney,Australia,0,1,Australia
England,West Indies,Brisbane,Australia,2,2,West Indies
Australia,England,Sydney,Australia,0,1,England
Australia,England,Sydney,Australia,0,1,England
England,West Indies,Adelaide,Australia,2,2,West Indies
Australia,West Indies,Sydney,Australia,0,1,Australia
England,West Indies,Melbourne,Australia,2,2,West Indies
England,West Indies,Sydney,Australia,2,2,West Indies
New Zealand,West Indies,Christchurch,New Zealand,0,1,New Zealand
England,West Indies,Leeds,England,0,1,West Indies
England,West Indies,Lord's,England,0,1,England
England,Australia,The Oval,England,0,1,England
England,Australia,Birmingham,England,0,1,England
Pakistan,West Indies,Karachi,Pakistan,0,1,West Indies
Australia,New Zealand,Adelaide,Australia,0,1,New Zealand
Australia,New Zealand,Sydney,Australia,0,1,Australia
Pakistan,West Indies,Sialkot,Pakistan,0,1,West Indies
Australia,India,Melbourne,Australia,0,1,India
Australia,New Zealand,Melbourne,Australia,0,1,Australia
India,New Zealand,Perth,Australia,2,2,India
Australia,India,Sydney,Australia,0,1,Australia
Pakistan,West Indies,Lahore,Pakistan,0,1,West Indies
India,New Zealand,Brisbane,Australia,2,2,New Zealand
India,New Zealand,Adelaide,Australia,2,2,India
Australia,India,Sydney,Australia,0,1,Australia
India,New Zealand,Melbourne,Australia,2,2,New Zealand
Australia,India,Melbourne,Australia,0,1,Australia
Australia,New Zealand,Sydney,Australia,0,1,New Zealand
Australia,India,Sydney,Australia,0,1,Australia
India,New Zealand,Brisbane,Australia,2,2,New Zealand
Australia,New Zealand,Sydney,Australia,0,1,New Zealand
Australia,New Zealand,Melbourne,Australia,0,1,Australia
Australia,New Zealand,Melbourne,Australia,0,1,Australia
Australia,New Zealand,Sydney,Australia,0,1,Australia
West Indies,England,Kingstown,West Indies,0,1,West Indies
New Zealand,India,Auckland,New Zealand,0,1,New Zealand
New Zealand,India,Hamilton,New Zealand,0,1,New Zealand
West Indies,England,Albion,West Indies,0,1,West Indies
England,Australia,Lord's,England,0,1,England
England,Australia,Birmingham,England,0,1,Australia
England,Australia,Leeds,England,0,1,Australia
Pakistan,West Indies,Melbourne,Australia,2,2,West Indies
Australia,Pakistan,Melbourne,Australia,0,1,Pakistan
