timestamps,TP9,AF7,AF8,TP10,Right AUX
1560179498.316,13.672,41.016,-82.520,22.949,18.555
1560179498.320,15.137,38.086,-70.312,19.531,-2.930
1560179498.324,8.301,36.621,-65.430,24.414,37.109
1560179498.328,9.277,38.086,-55.664,23.926,20.996
1560179498.332,12.207,41.016,-41.016,13.672,16.602
1560179498.335,16.113,39.551,-29.785,20.996,14.648
1560179498.339,24.414,40.527,-18.066,34.180,18.066
1560179498.343,25.391,44.434,-11.719,32.715,74.707
1560179498.347,17.090,46.387,-7.324,19.531,35.156
1560179498.351,15.625,47.363,0.488,21.484,22.949
1560179498.355,23.926,47.852,6.348,32.715,29.785
1560179498.359,21.973,42.480,17.578,30.273,14.648
1560179498.363,15.137,43.457,25.391,20.996,-24.414
1560179498.367,8.789,46.387,27.832,19.043,-10.254
1560179498.371,7.812,43.945,33.203,21.484,66.406
1560179498.375,13.184,43.945,28.320,25.391,44.922
1560179498.378,15.137,44.434,13.672,27.344,46.387
1560179498.382,10.742,47.363,5.859,24.902,56.641
1560179498.386,0.000,49.316,6.348,13.184,51.758
1560179498.390,5.859,45.898,2.930,16.113,39.062
1560179498.394,11.719,46.875,1.953,19.531,93.262
1560179498.398,10.254,47.852,7.324,16.113,76.660
1560179498.402,9.766,45.898,5.859,17.578,78.125
1560179498.406,3.906,44.434,2.930,19.043,69.336
1560179498.410,9.277,45.898,1.953,20.020,-2.441
1560179498.414,14.648,45.410,0.000,25.879,27.344
1560179498.418,9.766,41.992,-2.930,22.949,77.637
1560179498.421,10.254,42.969,-6.836,20.020,73.242
1560179498.425,9.766,45.898,-10.742,24.902,46.387
1560179498.429,8.301,47.852,-14.160,24.414,37.598
1560179498.433,12.207,45.410,-17.578,25.391,65.430
1560179498.437,14.648,43.457,-21.973,24.902,58.105
1560179498.441,9.277,43.457,-17.090,19.043,8.789
1560179498.445,10.254,39.551,-6.836,12.695,-0.488
1560179498.449,12.207,38.574,-9.766,15.625,-6.348
1560179498.453,3.418,37.109,-11.719,20.020,-48.828
1560179498.457,8.301,33.691,-13.672,18.066,0.488
1560179498.460,15.137,33.691,-20.020,20.508,6.836
1560179498.464,8.301,34.668,-23.926,27.832,10.254
1560179498.468,5.371,35.156,-24.414,23.438,30.762
1560179498.472,12.695,33.691,-21.484,21.973,-15.137
1560179498.476,15.137,33.691,-20.020,24.414,-5.859
1560179498.480,8.301,35.156,-20.996,17.090,34.180
1560179498.484,2.930,34.668,-22.461,16.602,50.781
1560179498.488,0.000,37.109,-21.973,21.484,13.672
1560179498.492,-2.930,37.109,-31.738,18.066,6.836
1560179498.496,0.977,36.133,-40.039,14.160,23.926
1560179498.500,8.301,38.086,-42.480,17.090,11.719
1560179498.503,2.441,34.668,-52.246,4.883,39.551
1560179498.507,-1.465,34.668,-59.082,4.883,48.340
1560179498.511,-0.977,34.668,-62.012,15.137,20.020
1560179498.515,2.930,33.691,-65.430,12.695,81.543
1560179498.519,8.789,39.062,-70.312,11.719,85.449
1560179498.523,6.348,41.016,-70.312,17.578,47.363
1560179498.527,1.953,39.551,-67.871,19.043,24.414
1560179498.531,6.836,41.992,-68.848,16.113,14.648
1560179498.535,17.090,40.527,-67.383,14.648,40.039
1560179498.539,17.578,37.109,-71.777,23.438,5.859
1560179498.543,8.789,39.551,-74.707,25.879,15.137
1560179498.546,3.906,36.621,-73.730,13.672,47.363
1560179498.550,11.719,37.109,-74.707,14.648,48.340
1560179498.554,19.531,42.480,-74.219,23.926,66.406
1560179498.558,15.625,41.992,-73.242,22.949,33.691
1560179498.562,14.160,38.086,-72.754,20.508,-16.113
1560179498.566,14.648,41.504,-70.801,25.391,-8.301
1560179498.570,16.602,46.875,-77.148,23.438,-11.230
1560179498.574,8.789,39.062,-84.473,19.531,-57.617
1560179498.578,10.254,39.062,-81.543,19.043,16.602
1560179498.582,10.254,41.504,-86.426,23.926,21.973
1560179498.585,-2.930,37.598,-93.262,25.391,-9.766
1560179498.589,0.977,38.086,-100.586,14.160,-9.766
